id,stop_letter,name,lat,lon,lines,modes,parent_id,top_most_parent_id,station_id
490007207N,,Glamis Place,51.510214,-0.050509,['100'],['bus'],490G00007207,490G00007207,490G00007207
490008734W,,King David Lane,51.510684,-0.052838,['100'],['bus'],490G00008734,490G00008734,490G00008734
490000202A,A,Shadwell Station,51.510971,-0.055535,"['100', 'd3']",['bus'],490G00202A,HUBSDE,490G00202A
490012020A,,St George's Town Hall / Shadwell Stn,51.511039,-0.058559,['100'],['bus'],490G000740,490G000740,490G000740
490012020B,B,St George's Town Hall / Shadwell Stn,51.511028,-0.058948,"['100', 'd3']",['bus'],490G000740,490G000740,490G000740
490013687J,J,Tobacco Dock,51.50891,-0.058664,"['100', 'd3']",['bus'],490G000801,490G000801,490G000801
490014209S,L,Wapping Health Centre,51.506246,-0.058503,"['100', 'd3']",['bus'],490G00014209,490G00014209,490G00014209
490011250E,M,Clegg Street,51.505484,-0.057051,['100'],['bus'],490G000714,490G000714,490G000714
490003335E,N,Garnet Street,51.506479,-0.05577,['100'],['bus'],490G00003335,490G00003335,490G00003335
490014211S,P,Wapping Wall,51.505394,-0.054303,"['100', 'd3']",['bus'],490G00014211,490G00014211,490G00014211
490000251W,R,Wapping Station,51.504565,-0.05588,"['100', 'd3']",['bus'],490G00251W,910GWAPPING,490G00251W
490006246W,S,Dundee Street,51.503245,-0.060864,['100'],['bus'],490G00006246,490G00006246,490G00006246
490014210W,T,Sampson Street,51.503662,-0.063267,['100'],['bus'],490G00014210,490G00014210,490G00014210
490008089W,U,Hermitage Wall,51.504935,-0.064654,['100'],['bus'],490G00008089,490G00008089,490G00008089
490012021N,,Stockholm Way,51.506011,-0.066626,['100'],['bus'],490G00012021,490G00012021,490G00012021
490014016N,->N,The Highway,51.507658,-0.066729,['100'],['bus'],490G00014016,490G00014016,490G00014016
490014944W,TN,St Katharine Docks,51.508326,-0.071788,"['100', '108', 'n551']",['bus'],490G00014944,490G00014944,490G00014944
490002076RV,TC,Tower Gateway Station,51.510792,-0.075214,"['100', '42', '78', 'n551']",['bus'],490G02076RV,HUBTOG,490G02076RV
490009606S,S,Mansell Street,51.51283,-0.073327,"['100', '15', '42', '78', 'n15']",['bus'],490G000654,490G000654,490G000654
490006229ZY,A,Duke's Place,51.514571,-0.078629,"['100', '135', '205', '42', '78', 'n205', 'n551']",['bus'],490G000492,490G000492,490G000492
490004043N,N,Bishopsgate,51.515916,-0.081138,"['100', 'n551']",['bus'],490G00019063,490G00019063,490G00019063
490004043Q,Q,Wormwood Street,51.516178,-0.082295,"['100', '344', 'n133']",['bus'],490G00004043,490G00004043,490G00004043
490000149B,B,Moorgate Station,51.518621,-0.088174,"['100', '141', '153', '43']",['bus'],490G00149L,HUBZMG,490G00149L
490003831W,S,Finsbury Street,51.520687,-0.089125,"['100', '153']",['bus'],490G00003831,490G00003831,490G00003831
490003824W,BM,Silk Street,51.520946,-0.091796,"['100', '153']",['bus'],490G00003824,490G00003824,490G00003824
490010130S,BD,London Wall,51.518312,-0.096792,"['100', '4', '56']",['bus'],490G00010130,490G00010130,490G00010130
